<p>[接口测试知识点]</p> <p>各阶段自动化测试工具</p>	[接口测试知识点] <p>功能</p><p>性能</p><p>接口</p><p>手机</p>
<p>[接口测试知识点][各阶段自动化测试工具]</p> <p>功能</p>	[接口测试知识点][各阶段自动化测试工具] <p>QTP </p><p>Selenium</p>
<p>[接口测试知识点][各阶段自动化测试工具]</p> <p>性能</p>	[接口测试知识点][各阶段自动化测试工具] <p>LoadRunner </p><p>JMeter</p>
<p>[接口测试知识点][各阶段自动化测试工具]</p> <p>接口</p>	[接口测试知识点][各阶段自动化测试工具] <p>Postman </p><p>Fiddler</p><p>JMeter</p>
<p>[接口测试知识点][各阶段自动化测试工具]</p> <p>手机</p>	[接口测试知识点][各阶段自动化测试工具] <p>appium</p>
<p>[接口测试知识点]</p> <p>分层测试</p>	[接口测试知识点] <p>UI</p><p>Server</p><p>Unit</p>
<p>[接口测试知识点][分层测试]</p> <p>UI</p>	[接口测试知识点][分层测试] <p>在用户界面进行操作完成测试</p><p>黑盒</p><p>分析</p>
<p>[接口测试知识点]</p> <p>基本理念1：不稳定</p>	[接口测试知识点] <p>UI经常改，UI测试用例复用率低</p>
<p>[接口测试知识点]</p> <p>基本理念2：低效</p>	[接口测试知识点] <p>效率低，发现BUG能力弱</p>
<p>[接口测试知识点]</p> <p>基本理念3:高成本</p>	[接口测试知识点] <p>代码和分支的覆盖率提高难度大</p><p>发现BUG后修复成本高</p>
<p>[接口测试知识点]</p> <p>基本理念4：容易实施</p>	[接口测试知识点] <p>不需要代码能力，从业人员多容易推广和实施</p>
<p>[接口测试知识点][分层测试]</p> <p>Server</p>	[接口测试知识点][分层测试] <p>灰盒</p><p>模块间的调用关系</p><p>分析</p>
<p>[接口测试知识点]</p> <p>基本理念1：稳定性高</p>	[接口测试知识点] <p>接口相对稳定，用例复用率高，处于UI层和unit层之间</p>
<p>[接口测试知识点]</p> <p>基本理念2：中等</p>	[接口测试知识点] <p>由于没有表示层的混淆作用，效率较高，发现BUG能力较高</p>
<p>[接口测试知识点]</p> <p>基本理念3:较高的成本</p>	[接口测试知识点] <p>由于接口逻辑集中，测试成本非常低，但由于有server框架混淆，定位BUG和修复成本比UI低，但别Unit高</p>
<p>[接口测试知识点]</p> <p>基本理念4：容易实施</p>	[接口测试知识点] <p>实施较为方便，较Unit容易推广，而且较Unit容易实现自动化</p>
<p>[接口测试知识点][分层测试]</p> <p>Unit</p>	[接口测试知识点][分层测试] <p>白盒/黑盒</p><p>分析</p>
<p>[接口测试知识点]</p> <p>基本理念1：稳定性高</p>	[接口测试知识点] <p>稳定性很高，用例几乎不用变</p>
<p>[接口测试知识点]</p> <p>基本理念2：效率高</p>	[接口测试知识点] <p>不存在混淆，精度高，发现BUG能力极强</p>
<p>[接口测试知识点]</p> <p>基本理念3:低成本</p>	[接口测试知识点] <p>定位BUG和处理BUG成本低</p>
<p>[接口测试知识点]</p> <p>基本理念4：容易实施</p>	[接口测试知识点] <p>实施较为方便，较Unit容易推广</p>
<p>[接口测试知识点]</p> <p>自动化测试</p>	[接口测试知识点] <p>每一层都应该开展自动化测试</p><p>UI层</p><p>Unit层</p><p>Server层</p>
<p>[接口测试知识点][自动化测试]</p> <p>UI层</p>	[接口测试知识点][自动化测试] <p> 工具</p><p>功能自动化测试</p><p>使用工具模拟用户在界面上的操作，代替重复手工测试</p><p>用作回归测试和大数据量测试</p>
<p>[接口测试知识点][自动化测试]</p> <p>Unit层</p>	[接口测试知识点][自动化测试] <p>工具</p><p>使用工具测试代码的正确性和语法正确性、规范性</p><p>用作单元测试，自动化大多只用作自动提交测试报告</p>
<p>[接口测试知识点][自动化测试]</p> <p>Server层</p>	[接口测试知识点][自动化测试] <p>工具</p><p>主要用于集成测试，自动化大多用于回归测试</p>
